               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.017882,           0.0051443,                   0,             0.98602,             0.95062,             0.98743,             0.65433,            0.023686,           0.0070303,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.018306,           0.0053079,                   0,             0.96372,             0.98399,             0.98895,             0.66487,            0.023731,           0.0064384,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.017889,            0.005125,                   0,             0.97558,              0.9865,             0.98822,             0.66172,             0.02369,           0.0064555,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.016945,           0.0049254,                   0,             0.97559,             0.98698,             0.98859,             0.65956,            0.022778,           0.0061476,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.017834,           0.0052095,                   0,             0.97433,             0.98765,             0.98271,             0.66411,            0.022399,           0.0056346,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.017845,           0.0053966,                   0,             0.96256,             0.98765,             0.98619,             0.66633,            0.022954,           0.0059241,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,             0.01707,           0.0048727,                   0,             0.98472,             0.97531,             0.98559,             0.65572,            0.023709,           0.0065919,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.017741,           0.0053386,                   0,             0.98748,             0.97365,              0.9862,             0.66553,            0.023541,           0.0068221,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.017235,           0.0052323,                   0,              0.9638,             0.98606,             0.98682,             0.68114,            0.024147,           0.0069138,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.017219,           0.0053305,                   0,             0.97341,             0.97531,             0.98813,             0.66749,            0.023386,           0.0064884,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.017421,           0.0052093,                   0,             0.97401,             0.98765,             0.98758,             0.67048,            0.022509,           0.0064713,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.017681,           0.0052987,                   0,             0.97872,             0.97531,             0.98471,             0.66314,            0.023613,           0.0067285,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.017045,           0.0051772,                   0,             0.98745,             0.97158,             0.98859,             0.67541,            0.023637,           0.0070851,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.016996,           0.0052197,                   0,                   1,             0.95791,             0.99283,             0.66775,            0.023697,           0.0071517,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.017322,           0.0050854,                   0,                   1,             0.96111,             0.99359,             0.67831,            0.023099,           0.0070583,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.017032,           0.0049503,                   0,             0.96264,             0.98765,             0.99194,              0.6733,            0.022612,           0.0068812,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.016613,           0.0053198,                   0,              0.9865,             0.96296,             0.99013,             0.67631,            0.023198,           0.0072757,                   0,            0.003169,            0.003169,            0.003169
                 140,             0.01733,           0.0050962,                   0,             0.98747,               0.973,             0.98802,             0.67177,            0.023148,           0.0070256,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.017288,           0.0052511,                   0,              0.9741,             0.98765,             0.98108,             0.66468,            0.023583,             0.00688,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.016868,           0.0049238,                   0,             0.97398,             0.98765,             0.97979,             0.66118,            0.023699,           0.0067973,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.016605,           0.0050513,                   0,             0.98233,             0.98765,             0.97953,             0.66566,            0.022898,           0.0064583,                   0,            0.002971,            0.002971,            0.002971
